"date","variable","strat","type","median","mean","sd","lower_95","lower_50","lower_20","upper_20","upper_50","upper_95"
2022-09-18,"growth_rate",NA,"estimate",-0.0384370397013213,-0.0386733146995132,0.00615322352998735,-0.0513487255340089,-0.0425106710610627,-0.0398784095751165,-0.0369409604296485,-0.0344758501953149,-0.0273460439921493
2022-09-19,"growth_rate",NA,"estimate",-0.0381021530300479,-0.0383134816207044,0.00619667173906233,-0.050851502564197,-0.0421511913544303,-0.0395223733134112,-0.0365316211841629,-0.0341103946538564,-0.0268128041267888
2022-09-20,"growth_rate",NA,"estimate",-0.0376715943213371,-0.0378807087051333,0.0062347071554519,-0.0505883961319834,-0.041848661977024,-0.0391211554760835,-0.0360006618452948,-0.0336123690988251,-0.0260760012957648
2022-09-21,"growth_rate",NA,"estimate",-0.0371449765809413,-0.0373776892623033,0.00626992697208223,-0.0502169902492073,-0.0414116956684473,-0.0386824711106795,-0.0355216177780742,-0.0331157088659106,-0.0255417208923917
2022-09-22,"growth_rate",NA,"estimate",-0.0365767293709757,-0.0368086736578028,0.00630673238871959,-0.0498813513510757,-0.0409091681988284,-0.038235585469788,-0.0348949685991296,-0.0325188258312417,-0.024964321721955
2022-09-23,"growth_rate",NA,"estimate",-0.0360846885001277,-0.0361794110552589,0.00635055328242609,-0.0491453165038439,-0.0403419230112298,-0.0377435478716864,-0.0343426131081835,-0.0317893851241458,-0.0240897960426017
2022-09-24,"growth_rate",NA,"estimate",-0.0354637628365419,-0.0354970777907208,0.00640636629688445,-0.0485090469800875,-0.0395433357006396,-0.0370663600131296,-0.0337637549395175,-0.0311319718353695,-0.023329681213979
2022-09-25,"growth_rate",NA,"estimate",-0.0348516917186668,-0.0347701837424336,0.00647706064162398,-0.0478948594678543,-0.0388613131740367,-0.0364017061119191,-0.0331943071954986,-0.0304307323161662,-0.0222017124153482
2022-09-26,"growth_rate",NA,"estimate",-0.0340927498027674,-0.0340084476226037,0.00656237348575603,-0.0475209408064283,-0.038117079370657,-0.0357203926762613,-0.03253167245395,-0.0295097255527074,-0.021135298501534
2022-09-27,"growth_rate",NA,"estimate",-0.0333428745583799,-0.0332226368425602,0.00665891073334519,-0.0466973261828744,-0.0374810441863792,-0.0349419750155285,-0.0316243728672421,-0.0286308612972461,-0.0203079491178304
2022-09-28,"growth_rate",NA,"estimate",-0.0324920781135687,-0.0324243758316308,0.00676126266157155,-0.0462427293096965,-0.0368449601960723,-0.0341495831959239,-0.0307842244003633,-0.0277869611936142,-0.0194239107874379
2022-09-29,"growth_rate",NA,"estimate",-0.0314995990543169,-0.0316259349209342,0.00686370948041144,-0.0454743068083101,-0.0360740238076172,-0.0334048013859371,-0.0298708182675671,-0.027117148452097,-0.01867444127355
2022-09-30,"growth_rate",NA,"estimate",-0.030793643417759,-0.0308400164516167,0.0069617883646816,-0.0447090720173081,-0.0353698066087576,-0.0326030209156888,-0.0290375652608034,-0.0261474307710093,-0.0173421461104046
2022-10-01,"growth_rate",NA,"estimate",-0.0301972280463551,-0.0300795536356522,0.00705315279387269,-0.0440291482733056,-0.0346973858586282,-0.0319044142904136,-0.0284483029156409,-0.0253771241096926,-0.0164355971016156
2022-10-02,"growth_rate",NA,"estimate",-0.0294674684882702,-0.0293575316283456,0.0071375627200077,-0.0432490515521193,-0.0339163167524849,-0.0312441233486182,-0.0278362682730691,-0.0247287322701534,-0.0153093398899099
2022-10-03,"growth_rate",NA,"estimate",-0.0289081011733829,-0.0286868323161244,0.00721626461547968,-0.0426963268724507,-0.0334245113401456,-0.0305644604016682,-0.0271480940043051,-0.0239969366376169,-0.0142936792391772
2022-10-04,"growth_rate",NA,"estimate",-0.0282375578848162,-0.0280800981056512,0.00729124420195183,-0.0420856607480234,-0.0329426968182707,-0.0300332642056735,-0.0265591401500596,-0.02337666664836,-0.0130383628594995
2022-10-05,"growth_rate",NA,"estimate",-0.02765490827602,-0.0275496077026046,0.00736476451560091,-0.0415037195291629,-0.0324454339478075,-0.0294734059362256,-0.026078958843099,-0.0228006598682358,-0.0123186538243954
2022-10-06,"growth_rate",NA,"estimate",-0.0272503147855268,-0.0271071581833961,0.00743930197166561,-0.0414007624349665,-0.0321805278496067,-0.0290988295976753,-0.0256117142530262,-0.0223302111307966,-0.0118735600734681
2022-10-07,"growth_rate",NA,"estimate",-0.0269560552896279,-0.0267639503354228,0.00751766177335436,-0.0408118474478602,-0.0317132966625148,-0.0287455985498209,-0.0253021815346388,-0.0219188637284203,-0.0114055511951623
2022-10-08,"growth_rate",NA,"estimate",-0.0268345114072568,-0.0265304757545824,0.00760290541076293,-0.0408592660858032,-0.0314472458900358,-0.0285632773596946,-0.0250587510340683,-0.0216829443970452,-0.0114039173790718
2022-10-09,"growth_rate",NA,"estimate",-0.0269020164404284,-0.0264164034391868,0.00769784880414156,-0.0412124474162802,-0.0313036574545187,-0.0284750650393706,-0.0249286136270055,-0.0214776525901497,-0.0110085717291917
2022-10-10,"growth_rate",NA,"estimate",-0.0268370134733998,-0.026430461522997,0.00780420369370333,-0.0414166386565389,-0.0314146883153861,-0.0285120850676516,-0.0249504873760759,-0.0214069652821684,-0.010676801807904
2022-10-11,"growth_rate",NA,"estimate",-0.0268540962296168,-0.0265803085312187,0.00792173117043078,-0.0418411081172517,-0.0315753258617995,-0.0286642767510115,-0.0248771955448684,-0.0214269709600962,-0.0104462824082248
2022-10-12,"growth_rate",NA,"estimate",-0.0272000950297264,-0.0268723900455484,0.00804785947789587,-0.0424038173009615,-0.0321252008181876,-0.0291220809836967,-0.0251538707023005,-0.0217619636010807,-0.0102079532364804
2022-10-13,"growth_rate",NA,"estimate",-0.0275984857659161,-0.0273117812913684,0.00817803339691417,-0.0430553886969968,-0.032589443882012,-0.0295430175743075,-0.025607005785652,-0.0223907264673578,-0.0102189541589582
2022-10-14,"growth_rate",NA,"estimate",-0.0282175454691679,-0.0279020224350216,0.00830673457736432,-0.0436121264265954,-0.0331891599362144,-0.030146583467172,-0.0261682025819047,-0.0228708768403083,-0.0107342166231568
2022-10-15,"growth_rate",NA,"estimate",-0.0289559148047619,-0.028644958831694,0.00842884954987741,-0.0449066764664622,-0.0340425089847335,-0.031012568533717,-0.0268592779021299,-0.0236866828777288,-0.0105781410565912
2022-10-16,"growth_rate",NA,"estimate",-0.0298823566701279,-0.0295406010180091,0.00854099948420601,-0.0457535843075139,-0.035199769392153,-0.0319057751906952,-0.0278185323827551,-0.0245364268020358,-0.0115228034592528
2022-10-17,"growth_rate",NA,"estimate",-0.0308112443679111,-0.0305870182622122,0.0086425649994175,-0.046769218883437,-0.0362318376892615,-0.0329092077193218,-0.0288553205029324,-0.0255015229918835,-0.0119092942635661
2022-10-18,"growth_rate",NA,"estimate",-0.0320890957802405,-0.031780275887242,0.00873631884978307,-0.0482500991412088,-0.0373511429934379,-0.0341834191712467,-0.0298407002089182,-0.0265405486259185,-0.0131165987744836
2022-10-19,"growth_rate",NA,"estimate",-0.0333343927654595,-0.0331144220699399,0.00882869866824752,-0.0497387294057478,-0.0388026685381253,-0.0354427568509509,-0.0311259394287936,-0.0278780751400921,-0.0142684240375445
2022-10-20,"growth_rate",NA,"estimate",-0.0347795422613707,-0.0345815258381536,0.00892976397727171,-0.0519237098460948,-0.0401784130337064,-0.0369439289548645,-0.0326503465080753,-0.0291768532489358,-0.0162279459001338
2022-10-21,"growth_rate",NA,"estimate",-0.0362923328826496,-0.0361717651244135,0.0090528220476413,-0.0540364335036251,-0.0418956098511302,-0.0385291025388684,-0.0341436584498356,-0.030421863159812,-0.0176516224279757
2022-10-22,"growth_rate",NA,"estimate",-0.0379663314278574,-0.0378735618496303,0.00921365650249294,-0.0558531012522391,-0.0437643965908253,-0.0401956355752424,-0.0358241183037231,-0.0319778555980805,-0.0197286404611973
2022-10-23,"growth_rate",NA,"estimate based on partial data",-0.0397686928966659,-0.0396737597926307,0.00942931976231904,-0.0579499307154888,-0.045725932557403,-0.0417845530207155,-0.0375320961767506,-0.0336555195432187,-0.021230546838705
2022-10-24,"growth_rate",NA,"estimate based on partial data",-0.0415381035744956,-0.0415578403784689,0.00971656726009222,-0.0605883660768078,-0.047897287391254,-0.0436965555825417,-0.039313004592015,-0.0350820785065678,-0.022719777982111
2022-10-25,"growth_rate",NA,"estimate based on partial data",-0.0433954125783188,-0.0435101715648977,0.0100901616743214,-0.0635534636713508,-0.0501613680414472,-0.0457576168556072,-0.0410400807924716,-0.0367428156995288,-0.0240479940406644
2022-10-26,"growth_rate",NA,"estimate based on partial data",-0.0453151091354598,-0.0455142855273413,0.0105613687542847,-0.0667027331967962,-0.0524225900479121,-0.0480658457823823,-0.0427992493911983,-0.038053689580071,-0.0256940868146879
2022-10-27,"growth_rate",NA,"estimate based on partial data",-0.0472921491987407,-0.0475531811312735,0.0111369407313762,-0.0697598655518123,-0.055043773569182,-0.0503442345331167,-0.0444653120377155,-0.0395297755872076,-0.0268041148669563
2022-10-28,"growth_rate",NA,"estimate based on partial data",-0.0494600727544409,-0.0496096463066178,0.011818752413484,-0.0730955406329798,-0.057519369239849,-0.0525043567153603,-0.0462981945013384,-0.041196817987304,-0.0278140413932701
2022-10-29,"growth_rate",NA,"estimate based on partial data",-0.0512803016585993,-0.0516665929441106,0.0126040928450801,-0.076983346708073,-0.0600878218728915,-0.0545484629729733,-0.0478947764440584,-0.0427167867792537,-0.028903245908084
2022-10-30,"growth_rate",NA,"estimate based on partial data",-0.0532290396332298,-0.0537073934070857,0.0134864911499066,-0.0808955631068533,-0.0623969770994509,-0.0567842193476221,-0.0497249238202624,-0.0440680638671238,-0.0289853710137721
2022-10-31,"growth_rate",NA,"estimate based on partial data",-0.0552497737680517,-0.0557162047570582,0.0144568875402454,-0.0851653346505123,-0.0647569989201698,-0.0590777534953617,-0.0513794513275843,-0.0456539942434779,-0.0299192879539734
2022-11-01,"growth_rate",NA,"estimate based on partial data",-0.0568902525945543,-0.057678266060191,0.0155049317091592,-0.0895808848767888,-0.0674841134901594,-0.0612364646713906,-0.0531092828217662,-0.046847379500763,-0.0298966195048836
2022-11-02,"growth_rate",NA,"estimate based on partial data",-0.0587137868404455,-0.0595801564910767,0.0166201867800674,-0.0941308644430569,-0.0700056118813028,-0.0636412636184918,-0.0545262791396812,-0.047904611443309,-0.0297405942020578
2022-11-03,"growth_rate",NA,"estimate based on partial data",-0.0605457385090755,-0.061410006628907,0.0177930430842522,-0.0988916758010547,-0.0725215138078973,-0.0653935049714124,-0.0561873829727757,-0.0490750914691613,-0.029506100568737
2022-11-04,"growth_rate",NA,"estimate based on partial data",-0.0625244220800034,-0.0631576602966091,0.019015212779474,-0.103166609250415,-0.0750965769665207,-0.0671617593811586,-0.0575593330707447,-0.049752491495495,-0.0287159941920236
2022-11-05,"growth_rate",NA,"estimate based on partial data",-0.0642022108568262,-0.064814787280362,0.0202797794459189,-0.106923912183096,-0.0775791836055312,-0.0688123065155011,-0.0589279143974672,-0.0505128890853371,-0.0274508664733741
2022-11-06,"growth_rate",NA,"estimate based on partial data",-0.0655693432382427,-0.0663749471723586,0.0215808909537257,-0.111366264780211,-0.0802136116705381,-0.0707714548304072,-0.0601878130890831,-0.0511444966350028,-0.0265851163726528
2022-11-07,"growth_rate",NA,"estimate based on partial data",-0.0670356671860586,-0.0678336021709397,0.0229132718997573,-0.114509943204009,-0.0827914890863086,-0.0725746419459114,-0.0612431792750905,-0.0518791429152927,-0.0258542250313208
2022-11-08,"growth_rate",NA,"estimate based on partial data",-0.0683877314384527,-0.0691880742794686,0.0242717621267153,-0.11825100099454,-0.08498385059553,-0.0741663706478354,-0.062032893206437,-0.0524319003781859,-0.0244546129723255
2022-11-09,"growth_rate",NA,"estimate based on partial data",-0.0692785888568428,-0.0704374426090973,0.0256510498435838,-0.122961530099877,-0.0869188160121299,-0.0760725539581517,-0.0631095289382039,-0.0529293243302482,-0.0230688169323168
2022-11-10,"growth_rate",NA,"estimate based on partial data",-0.0703619849000474,-0.0715823808517728,0.027045677945888,-0.126817101092249,-0.0888986708876691,-0.0779481993785148,-0.063842393146117,-0.0531507875897523,-0.0210599878269269
2022-11-11,"growth_rate",NA,"estimate based on partial data",-0.0714688356399076,-0.0726249427642745,0.0284502958519136,-0.130097167059636,-0.0911688755583019,-0.0792847088430629,-0.0642262176128306,-0.0533936956479131,-0.0191305003020873
2022-11-12,"growth_rate",NA,"estimate based on partial data",-0.0724288945081728,-0.0735683120703818,0.0298600455794668,-0.133648753129624,-0.093250743189954,-0.0804235334872982,-0.0646168356500346,-0.0532136771598095,-0.0168887893840682
2022-11-13,"growth_rate",NA,"estimate based on partial data",-0.0734417271759063,-0.0744165392118798,0.0312709366379523,-0.137394343098289,-0.0947178758174355,-0.0813434543727523,-0.0651902450746602,-0.0533986557225734,-0.0143189498397035
2022-11-14,"growth_rate",NA,"estimate based on partial data",-0.0742376905990241,-0.0751742884290436,0.0326800850300235,-0.141389414155742,-0.0966464001922886,-0.0826186448565309,-0.0658825682221639,-0.0534314842737212,-0.0115725153808556
